t2,y2,t2,y2;
215277.3089999999,0.921875,215397.28599999996,14.86644071554997;
215277.3714999999,-19.078125,215397.34849999996,26.86644071554997;
215277.4339999999,2.921875,215397.41099999996,12.86644071554997;
215277.4964999999,-11.078125,215397.47349999996,9.86644071554997;
215277.5589999999,6.921875,215397.53599999996,30.86644071554997;
215277.6214999999,11.921875,215397.59849999996,-9.13355928445003;
215277.6839999999,-27.078125,215397.66099999996,-20.13355928445003;
215277.7464999999,17.921875,215397.72349999996,-8.13355928445003;
215277.8089999999,14.921875,215397.78599999996,-12.13355928445003;
215277.8714999999,-13.078125,215397.84849999996,-2.1335592844500297;
215277.9339999999,20.921875,215397.91099999996,-6.13355928445003;
215277.9964999999,15.921875,215397.97349999996,13.86644071554997;
215278.0589999999,-23.078125,215398.03599999996,-4.13355928445003;
215278.1214999999,-20.078125,215398.09849999996,7.86644071554997;
215278.1839999999,5.921875,215398.16099999996,22.86644071554997;
215278.2464999999,-21.078125,215398.22349999996,-6.13355928445003;
215278.3089999999,-14.078125,215398.28599999996,6.86644071554997;
215278.3714999999,7.921875,215398.34849999996,15.86644071554997;
215278.4339999999,-11.078125,215398.41099999996,13.86644071554997;
215278.4964999999,-15.078125,215398.47349999996,-6.13355928445003;
215278.5589999999,7.921875,215398.53599999996,9.86644071554997;
215278.6214999999,-16.078125,215398.59849999996,10.86644071554997;
215278.6839999999,-9.078125,215398.66099999996,17.86644071554997;
215278.7464999999,10.921875,215398.72349999996,9.86644071554997;
215278.8089999999,0.921875,215398.78599999996,-2.1335592844500297;
215278.8714999999,-23.078125,215398.84849999996,-9.13355928445003;
215278.9339999999,-12.078125,215398.91099999996,-6.13355928445003;
215278.9964999999,-26.078125,215398.97349999996,8.86644071554997;
215279.0589999999,-5.078125,215399.03599999996,1.8664407155499703;
215279.1214999999,-11.078125,215399.09849999996,16.86644071554997;
215279.1839999999,-39.078125,215399.16099999996,-9.13355928445003;
215279.2464999999,9.921875,215399.22349999996,35.86644071554997;
215279.3089999999,-3.078125,215399.28599999996,14.86644071554997;
215279.3714999999,-0.078125,215399.34849999996,44.86644071554997;
215279.4339999999,0.921875,215399.41099999996,53.86644071554997;
215279.4964999999,-2.078125,215399.47349999996,-2.1335592844500297;
215279.5589999999,-9.078125,215399.53599999996,28.86644071554997;
215279.6214999999,3.921875,215399.59849999996,3.8664407155499703;
215279.6839999999,4.921875,215399.66099999996,-0.13355928445002974;
215279.7464999999,1.921875,215399.72349999996,18.86644071554997;
215279.8089999999,24.921875,215399.78599999996,19.86644071554997;
215279.8714999999,11.921875,215399.84849999996,21.86644071554997;
215279.9339999999,1.921875,215399.91099999996,14.86644071554997;
215279.9964999999,-36.078125,215399.97349999996,-2.1335592844500297;
215280.0589999999,-15.078125,215400.03599999996,16.86644071554997;
215280.1214999999,-6.078125,215400.09849999996,1.8664407155499703;
215280.1839999999,-4.078125,215400.16099999996,-19.13355928445003;
215280.2464999999,2.921875,215400.22349999996,13.86644071554997;
215280.3089999999,-17.078125,215400.28599999996,8.86644071554997;
215280.3714999999,-11.078125,215400.34849999996,3.8664407155499703;
215280.4339999999,-13.078125,215400.41099999996,16.86644071554997;
215280.4964999999,-8.078125,215400.47349999996,19.86644071554997;
215280.5589999999,7.921875,215400.53599999996,10.86644071554997;
215280.6214999999,22.921875,215400.59849999996,9.86644071554997;
215280.6839999999,-5.078125,215400.66099999996,20.86644071554997;
215280.7464999999,-2.078125,215400.72349999996,-3.1335592844500297;
215280.8089999999,20.921875,215400.78599999996,-2.1335592844500297;
215280.8714999999,1.921875,215400.84849999996,3.8664407155499703;
215280.9339999999,-13.078125,215400.91099999996,20.86644071554997;
215280.9964999999,31.921875,215400.97349999996,11.86644071554997;
215281.0589999999,25.921875,215401.03599999996,10.86644071554997;
215281.1214999999,5.921875,215401.09849999996,11.86644071554997;
215281.1839999999,-4.078125,215401.16099999996,-1.1335592844500297;
215281.2464999999,-38.078125,215401.22349999996,10.86644071554997;
215281.3089999999,5.921875,215401.28599999996,20.86644071554997;
215281.3714999999,-10.078125,215401.34849999996,-4.13355928445003;
215281.4339999999,-30.078125,215401.41099999996,-13.13355928445003;
215281.4964999999,7.921875,215401.47349999996,-7.13355928445003;
215281.5589999999,-12.078125,215401.53599999996,-8.13355928445003;
215281.6214999999,-20.078125,215401.59849999996,16.86644071554997;
215281.6839999999,15.921875,215401.66099999996,-2.1335592844500297;
215281.7464999999,41.921875,215401.72349999996,-2.1335592844500297;
215281.8089999999,5.921875,215401.78599999996,10.86644071554997;
